prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Français: ""pied"" - Deutsch: ""Fuß""
Français: ""ligne"" - Deutsch: ""Linie""
Français: ""neige"" - Deutsch: ""Schnee""
Français: ""sol"" - Deutsch: ""Boden""
Français: ""nuage"" - Deutsch: ""","[14962, 11902, 29956, 399]",Wolke,"[31900, 231]",书,nuage
"Français: ""océan"" - Deutsch: ""Ozean""
Français: ""vertu"" - Deutsch: ""Tugend""
Français: ""vitesse"" - Deutsch: ""Geschwindigkeit""
Français: ""soleil"" - Deutsch: ""Sonne""
Français: ""sac"" - Deutsch: ""","[23793, 323, 10523, 29911]",Tasche,"[31784, 231]",云,sac
"Français: ""exemple"" - Deutsch: ""Beispiel""
Français: ""site"" - Deutsch: ""Standort""
Français: ""province"" - Deutsch: ""Provinz""
Français: ""lumière"" - Deutsch: ""Licht""
Français: ""bouche"" - Deutsch: ""","[8229, 29924, 341, 13564]",Mund,"[31473, 232]",包,bouche
"Français: ""bande"" - Deutsch: ""Streifen""
Français: ""queue"" - Deutsch: ""Schwanz""
Français: ""sol"" - Deutsch: ""Boden""
Français: ""rue"" - Deutsch: ""Straße""
Français: ""sol"" - Deutsch: ""","[1952, 8431, 19929, 29933, 350]",Boden,"[30856, 232]",口,sol
"Français: ""tribu"" - Deutsch: ""Stamm""
Français: ""talent"" - Deutsch: ""Talent""
Français: ""source"" - Deutsch: ""Quelle""
Français: ""océan"" - Deutsch: ""Ozean""
Français: ""montagne"" - Deutsch: ""","[17104, 9827, 29933, 3629, 1522, 2292, 350]",Berg,"[31181, 232]",土,montagne
"Français: ""mère"" - Deutsch: ""Mutter""
Français: ""dix"" - Deutsch: ""zehn""
Français: ""soleil"" - Deutsch: ""Sonne""
Français: ""étang"" - Deutsch: ""Teich""
Français: ""cœur"" - Deutsch: ""","[12905, 2439, 379, 940, 3868, 29950, 18650]",Herz,"[30329, 232]",山,cœur
"Français: ""sept"" - Deutsch: ""sieben""
Français: ""ligne"" - Deutsch: ""Linie""
Français: ""étang"" - Deutsch: ""Teich""
Français: ""vitesse"" - Deutsch: ""Geschwindigkeit""
Français: ""main"" - Deutsch: ""","[3481, 5952, 379, 5166, 7169, 29950, 24704]",Hand,"[31454, 232]",布,main
"Français: ""histoire"" - Deutsch: ""Geschichte""
Français: ""cinq"" - Deutsch: ""fünf""
Français: ""sol"" - Deutsch: ""Boden""
Français: ""grille"" - Deutsch: ""Gitter""
Français: ""jour"" - Deutsch: ""","[8176, 323, 10522, 10523, 29911]",Tag,"[30869, 232]",心,jour
"Français: ""deux"" - Deutsch: ""zwei""
Français: ""cinq"" - Deutsch: ""fünf""
Français: ""genre"" - Deutsch: ""Art""
Français: ""dix"" - Deutsch: ""zehn""
Français: ""étoile"" - Deutsch: ""","[624, 855, 7789, 28588, 29903, 2443, 317, 23413]",Stern,"[30880, 233]",手,étoile
"Français: ""bureau"" - Deutsch: ""Büro""
Français: ""étang"" - Deutsch: ""Teich""
Français: ""sol"" - Deutsch: ""Boden""
Français: ""lac"" - Deutsch: ""See""
Français: ""ressort"" - Deutsch: ""","[29943, 8263, 17972, 383, 7351, 5169]",Feder,"[30325, 233]",日,ressort
