prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Français: ""genre"" - Deutsch: ""Art""
Français: ""huit"" - Deutsch: ""acht""
Français: ""hausse"" - Deutsch: ""Anstieg""
Français: ""grotte"" - Deutsch: ""Höhle""
Français: ""nuage"" - Deutsch: ""","[48252, 56]",Wolke,"[498, 18534, 45679, 68]",cloud,nuage
"Français: ""sud"" - Deutsch: ""Süden""
Français: ""cinq"" - Deutsch: ""fünf""
Français: ""cravate"" - Deutsch: ""Krawatte""
Français: ""mille"" - Deutsch: ""tausend""
Français: ""sac"" - Deutsch: ""","[26385, 53]",Tasche,"[5830, 67, 22738]",bag,sac
"Français: ""champ"" - Deutsch: ""Feld""
Français: ""thé"" - Deutsch: ""Tee""
Français: ""tentative"" - Deutsch: ""Versuch""
Français: ""vitesse"" - Deutsch: ""Geschwindigkeit""
Français: ""bouche"" - Deutsch: ""","[46, 31425]",Mund,"[6972, 19845, 78]",mouth,bouche
"Français: ""temps"" - Deutsch: ""Zeit""
Français: ""cœur"" - Deutsch: ""Herz""
Français: ""un"" - Deutsch: ""eins""
Français: ""vitesse"" - Deutsch: ""Geschwindigkeit""
Français: ""sol"" - Deutsch: ""","[11478, 35]",Boden,"[84, 601]",soil,sol
"Français: ""section"" - Deutsch: ""Abschnitt""
Français: ""huit"" - Deutsch: ""acht""
Français: ""étoile"" - Deutsch: ""Stern""
Français: ""ligne"" - Deutsch: ""Linie""
Français: ""montagne"" - Deutsch: ""","[4678, 23666, 35]",Berg,"[6972, 16285, 78]",mountain,montagne
"Français: ""paire"" - Deutsch: ""Paar""
Français: ""tête"" - Deutsch: ""Kopf""
Français: ""nuage"" - Deutsch: ""Wolke""
Français: ""sol"" - Deutsch: ""Boden""
Français: ""cœur"" - Deutsch: ""","[1328, 10759, 41]",Herz,"[14387, 73, 248, 21071]",heart,cœur
"Français: ""gauche"" - Deutsch: ""links""
Français: ""machine"" - Deutsch: ""Maschine""
Français: ""mot"" - Deutsch: ""Wort""
Français: ""pied"" - Deutsch: ""Fuß""
Français: ""jour"" - Deutsch: ""","[26385, 12547, 53]",Tag,"[69, 1201, 1473]",day,jour
"Français: ""tribu"" - Deutsch: ""Stamm""
Français: ""bourse"" - Deutsch: ""Börse""
Français: ""jour"" - Deutsch: ""Tag""
Français: ""grille"" - Deutsch: ""Gitter""
Français: ""étoile"" - Deutsch: ""","[6812, 998, 52]",Stern,"[18233, 84, 7873, 296]",star,étoile
"Français: ""ménage"" - Deutsch: ""Haushalt""
Français: ""école"" - Deutsch: ""Schule""
Français: ""défaite"" - Deutsch: ""Niederlage""
Français: ""quatre"" - Deutsch: ""vier""
Français: ""ressort"" - Deutsch: ""","[7510, 39, 28246]",Feder,"[27375, 1033, 10167, 84]",spring,ressort
"Français: ""neige"" - Deutsch: ""Schnee""
Français: ""un"" - Deutsch: ""eins""
Français: ""jour"" - Deutsch: ""Tag""
Français: ""est"" - Deutsch: ""Osten""
Français: ""lune"" - Deutsch: ""","[46, 9304, 15155]",Mond,"[6972, 78]",moon,lune
