prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"English: ""example"" - English: ""example""
English: ""south"" - English: ""south""
English: ""wood"" - English: ""wood""
English: ""cave"" - English: ""cave""
English: ""book"" - English: ""","[1045, 2909, 289, 29890, 3143, 833]",book,"[1045, 2909, 289, 29890, 3143, 833]",book,book
"English: ""dance"" - English: ""dance""
English: ""net"" - English: ""net""
English: ""friend"" - English: ""friend""
English: ""flower"" - English: ""flower""
English: ""cloud"" - English: ""","[15126, 9274, 29883, 1067, 17184, 9570, 274, 23642, 695]",cloud,"[15126, 9274, 29883, 1067, 17184, 9570, 274, 23642, 695]",cloud,cloud
"English: ""sound"" - English: ""sound""
English: ""forest"" - English: ""forest""
English: ""mountain"" - English: ""mountain""
English: ""line"" - English: ""line""
English: ""bag"" - English: ""","[2291, 23156, 289, 29890, 9922, 19548]",bag,"[2291, 23156, 289, 29890, 9922, 19548]",bag,bag
"English: ""song"" - English: ""song""
English: ""thousand"" - English: ""thousand""
English: ""gold"" - English: ""gold""
English: ""school"" - English: ""school""
English: ""mouth"" - English: ""","[21026, 29442, 286, 2730, 13394, 4346, 29885]",mouth,"[21026, 29442, 286, 2730, 13394, 4346, 29885]",mouth,mouth
"English: ""office"" - English: ""office""
English: ""seven"" - English: ""seven""
English: ""site"" - English: ""site""
English: ""square"" - English: ""square""
English: ""soil"" - English: ""","[22473, 578, 577, 269, 29879]",soil,"[22473, 578, 577, 269, 29879]",soil,soil
"English: ""tea"" - English: ""tea""
English: ""language"" - English: ""language""
English: ""foot"" - English: ""foot""
English: ""speed"" - English: ""speed""
English: ""mountain"" - English: ""","[29442, 286, 5766, 2730, 16476, 4346, 14378, 29885]",mountain,"[29442, 286, 5766, 2730, 16476, 4346, 14378, 29885]",mountain,mountain
"English: ""beauty"" - English: ""beauty""
English: ""exchange"" - English: ""exchange""
English: ""meeting"" - English: ""meeting""
English: ""law"" - English: ""law""
English: ""cloth"" - English: ""","[15126, 13950, 29883, 1067, 17184, 274, 695]",cloth,"[15126, 13950, 29883, 1067, 17184, 274, 695]",cloth,cloth
"English: ""fruit"" - English: ""fruit""
English: ""sun"" - English: ""sun""
English: ""nine"" - English: ""nine""
English: ""rise"" - English: ""rise""
English: ""heart"" - English: ""","[5192, 29882, 354, 23057, 298, 8293, 540]",heart,"[5192, 29882, 354, 23057, 298, 8293, 540]",heart,heart
"English: ""site"" - English: ""site""
English: ""gold"" - English: ""gold""
English: ""mouth"" - English: ""mouth""
English: ""village"" - English: ""village""
English: ""hand"" - English: ""","[1361, 3179, 5905, 447, 298, 5403, 2350, 29882]",hand,"[1361, 3179, 5905, 447, 298, 5403, 2350, 29882]",hand,hand
"English: ""forest"" - English: ""forest""
English: ""talent"" - English: ""talent""
English: ""word"" - English: ""word""
English: ""middle"" - English: ""middle""
English: ""day"" - English: ""","[270, 1146, 1388, 29881, 3250, 2462]",day,"[270, 1146, 1388, 29881, 3250, 2462]",day,day
"English: ""red"" - English: ""red""
English: ""rice"" - English: ""rice""
English: ""south"" - English: ""south""
English: ""three"" - English: ""three""
English: ""star"" - English: ""","[380, 5173, 303, 8508, 9523, 269, 5810, 29879]",star,"[380, 5173, 303, 8508, 9523, 269, 5810, 29879]",star,star
"English: ""sand"" - English: ""sand""
English: ""cloth"" - English: ""cloth""
English: ""two"" - English: ""two""
English: ""site"" - English: ""site""
English: ""spring"" - English: ""","[6709, 7689, 805, 15099, 4278, 269, 1028, 29879]",spring,"[6709, 7689, 805, 15099, 4278, 269, 1028, 29879]",spring,spring
"English: ""heart"" - English: ""heart""
English: ""hair"" - English: ""hair""
English: ""kind"" - English: ""kind""
English: ""song"" - English: ""song""
English: ""moon"" - English: ""","[286, 2730, 4346, 18786, 29885]",moon,"[286, 2730, 4346, 18786, 29885]",moon,moon
"English: ""friend"" - English: ""friend""
English: ""book"" - English: ""book""
English: ""section"" - English: ""section""
English: ""rock"" - English: ""rock""
English: ""wood"" - English: ""","[8112, 29893, 281, 827, 8879, 6115]",wood,"[8112, 29893, 281, 827, 8879, 6115]",wood,wood
"English: ""defeat"" - English: ""defeat""
English: ""site"" - English: ""site""
English: ""cloth"" - English: ""cloth""
English: ""water"" - English: ""water""
English: ""village"" - English: ""","[4213, 21031, 3516, 29894, 17191, 325, 11928, 28765, 1403, 5720]",village,"[4213, 21031, 3516, 29894, 17191, 325, 11928, 28765, 1403, 5720]",village,village
"English: ""tail"" - English: ""tail""
English: ""Han"" - English: ""Han""
English: ""tea"" - English: ""tea""
English: ""exchange"" - English: ""exchange""
English: ""forest"" - English: ""","[26839, 1079, 1454, 1701, 285, 13569, 1181, 29888, 363]",forest,"[26839, 1079, 1454, 1701, 285, 13569, 1181, 29888, 363]",forest,forest
"English: ""nine"" - English: ""nine""
English: ""talent"" - English: ""talent""
English: ""hundred"" - English: ""hundred""
English: ""household"" - English: ""household""
English: ""fruit"" - English: ""","[285, 15774, 1424, 29888, 1341]",fruit,"[285, 15774, 1424, 29888, 1341]",fruit,fruit
"English: ""two"" - English: ""two""
English: ""example"" - English: ""example""
English: ""pair"" - English: ""pair""
English: ""flower"" - English: ""flower""
English: ""grid"" - English: ""","[330, 29887, 6856, 629, 867, 7720]",grid,"[330, 29887, 6856, 629, 867, 7720]",grid,grid
