prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"中文: ""群"" - Русский: ""группа""
中文: ""山"" - Русский: ""гора""
中文: ""雪"" - Русский: ""снег""
中文: ""色"" - Русский: ""цвет""
中文: ""书"" - Русский: ""","[13024, 29951, 1186, 211]",книга,"[29890, 3143, 289, 2909, 1045, 833]",book,书
"中文: ""月"" - Русский: ""луна""
中文: ""回"" - Русский: ""возврат""
中文: ""交"" - Русский: ""биржа""
中文: ""南"" - Русский: ""юг""
中文: ""云"" - Русский: ""","[614, 29904, 1604, 4389, 5055, 211]",облако,"[17184, 274, 9570, 29883, 695, 9274, 23642, 1067, 15126]",cloud,云
"中文: ""歌"" - Русский: ""песня""
中文: ""月"" - Русский: ""луна""
中文: ""洋"" - Русский: ""океан""
中文: ""位"" - Русский: ""позиция""
中文: ""包"" - Русский: ""","[29935, 3404, 531, 2937, 212]",сумка,"[29890, 19548, 9922, 23156, 289, 2291]",bag,包
"中文: ""位"" - Русский: ""позиция""
中文: ""种"" - Русский: ""вид""
中文: ""字"" - Русский: ""слово""
中文: ""座"" - Русский: ""сиденье""
中文: ""口"" - Русский: ""","[8201, 29927, 1561, 576, 212]",рот,"[4346, 21026, 13394, 29442, 29885, 286, 2730]",mouth,口
"中文: ""项"" - Русский: ""предмет""
中文: ""种"" - Русский: ""вид""
中文: ""速"" - Русский: ""скорость""
中文: ""力"" - Русский: ""власть""
中文: ""土"" - Русский: ""","[29964, 18752, 469, 733, 1268, 211]",почва,"[29879, 22473, 578, 577, 269]",soil,土
"中文: ""会"" - Русский: ""собрание""
中文: ""中"" - Русский: ""середина""
中文: ""三"" - Русский: ""три""
中文: ""千"" - Русский: ""тысяча""
中文: ""山"" - Русский: ""","[17310, 29969, 1214, 588, 24856, 1084, 211]",гора,"[4346, 5766, 14378, 16476, 29442, 29885, 286, 2730]",mountain,山
"中文: ""千"" - Русский: ""тысяча""
中文: ""音"" - Русский: ""звук""
中文: ""门"" - Русский: ""дверь""
中文: ""桥"" - Русский: ""мост""
中文: ""心"" - Русский: ""","[10182, 1586, 29935, 1502, 14315, 531, 212]",сердце,"[354, 540, 298, 23057, 29882, 8293, 5192]",heart,心
"中文: ""南"" - Русский: ""юг""
中文: ""茶"" - Русский: ""чай""
中文: ""色"" - Русский: ""цвет""
中文: ""画"" - Русский: ""картина""
中文: ""手"" - Русский: ""","[5368, 8201, 29927, 11218, 1086, 212]",рука,"[298, 5403, 2350, 447, 1361, 3179, 5905, 29882]",hand,手
"中文: ""舞"" - Русский: ""танец""
中文: ""校"" - Русский: ""школа""
中文: ""火"" - Русский: ""костер""
中文: ""群"" - Русский: ""группа""
中文: ""星"" - Русский: ""","[754, 27643, 29972, 211]",звезда,"[5173, 29879, 303, 9523, 5810, 8508, 269, 380]",star,星
"中文: ""代"" - Русский: ""поколение""
中文: ""七"" - Русский: ""семь""
中文: ""波"" - Русский: ""волна""
中文: ""包"" - Русский: ""сумка""
中文: ""春"" - Русский: ""","[29964, 12781, 469, 21550, 211]",пружина,"[29879, 7689, 6709, 4278, 805, 15099, 269, 1028]",spring,春
"中文: ""面"" - Русский: ""лицо""
中文: ""春"" - Русский: ""пружина""
中文: ""删"" - Русский: ""удалить""
中文: ""代"" - Русский: ""поколение""
中文: ""月"" - Русский: ""","[1844, 29944, 16050, 211]",луна,"[4346, 29885, 18786, 286, 2730]",moon,月
"中文: ""校"" - Русский: ""школа""
中文: ""子"" - Русский: ""ребенок""
中文: ""八"" - Русский: ""восемь""
中文: ""歌"" - Русский: ""песня""
中文: ""村"" - Русский: ""","[20229, 1216, 662, 10247, 6620, 19792, 2263, 29957, 211]",деревня,"[4213, 325, 11928, 21031, 5720, 29894, 1403, 3516, 17191, 28765]",village,村
"中文: ""中"" - Русский: ""середина""
中文: ""才"" - Русский: ""талант""
中文: ""删"" - Русский: ""удалить""
中文: ""米"" - Русский: ""рис""
中文: ""林"" - Русский: ""","[753, 4674, 29944, 211]",лес,"[29888, 285, 13569, 1454, 1079, 363, 1701, 26839, 1181]",forest,林
"中文: ""网"" - Русский: ""сетка""
中文: ""点"" - Русский: ""точка""
中文: ""尾"" - Русский: ""хвост""
中文: ""局"" - Русский: ""офис""
中文: ""果"" - Русский: ""","[23692, 30011, 1606, 212]",фрукт,"[1424, 29888, 285, 15774, 1341]",fruit,果
"中文: ""书"" - Русский: ""книга""
中文: ""场"" - Русский: ""поле""
中文: ""店"" - Русский: ""магазин""
中文: ""法"" - Русский: ""закон""
中文: ""格"" - Русский: ""","[1586, 29935, 1502, 531, 212]",сетка,"[6856, 7720, 629, 330, 867, 29887]",grid,格
"中文: ""座"" - Русский: ""сиденье""
中文: ""洞"" - Русский: ""пещера""
中文: ""男"" - Русский: ""мужчина""
中文: ""种"" - Русский: ""вид""
中文: ""歌"" - Русский: ""","[29964, 6414, 15536, 469, 2100, 211]",песня,"[29879, 1487, 4823, 21453, 578, 1100, 577, 269]",song,歌
"中文: ""中"" - Русский: ""середина""
中文: ""金"" - Русский: ""золото""
中文: ""语"" - Русский: ""язык""
中文: ""歌"" - Русский: ""песня""
中文: ""水"" - Русский: ""","[29942, 1786, 984, 490, 8160, 211]",вода,"[13405, 16699, 2766, 11324, 29893, 281, 4094]",water,水
"中文: ""判"" - Русский: ""судья""
中文: ""项"" - Русский: ""предмет""
中文: ""歌"" - Русский: ""песня""
中文: ""力"" - Русский: ""власть""
中文: ""池"" - Русский: ""","[29964, 12781, 469, 21550, 211]",пруд,"[29886, 772, 1129, 1112, 282, 2818, 12509]",pond,池
"中文: ""结"" - Русский: ""галстук""
中文: ""种"" - Русский: ""вид""
中文: ""双"" - Русский: ""пара""
中文: ""人"" - Русский: ""человек""
中文: ""沙"" - Русский: ""","[29964, 6414, 15536, 469, 2100, 211]",песок,"[29879, 4977, 11982, 28455, 872, 269, 9753]",sand,沙
"中文: ""街"" - Русский: ""улица""
中文: ""力"" - Русский: ""власть""
中文: ""法"" - Русский: ""закон""
中文: ""米"" - Русский: ""рис""
中文: ""河"" - Русский: ""","[8201, 1909, 29927, 587, 212]",река,"[3511, 4401, 374, 364, 9050, 10107, 29878, 8580, 1150]",river,河
"中文: ""海"" - Русский: ""море""
中文: ""字"" - Русский: ""слово""
中文: ""例"" - Русский: ""пример""
中文: ""台"" - Русский: ""платформа""
中文: ""法"" - Русский: ""","[1902, 1077, 754, 29972, 211]",закон,"[29880, 4307, 10653, 433, 425, 301]",law,法
"中文: ""洋"" - Русский: ""океан""
中文: ""火"" - Русский: ""костер""
中文: ""水"" - Русский: ""вода""
中文: ""七"" - Русский: ""семь""
中文: ""波"" - Русский: ""","[29942, 1786, 984, 490, 211]",волна,"[2766, 11324, 281, 10742, 27766, 29893]",wave,波
"中文: ""画"" - Русский: ""картина""
中文: ""场"" - Русский: ""поле""
中文: ""球"" - Русский: ""мяч""
中文: ""六"" - Русский: ""шесть""
中文: ""洋"" - Русский: ""","[614, 29904, 26242, 6752, 211]",океан,"[25802, 542, 23474, 288, 29877, 12954]",ocean,洋
"中文: ""河"" - Русский: ""река""
中文: ""德"" - Русский: ""добродетель""
中文: ""山"" - Русский: ""гора""
中文: ""线"" - Русский: ""линия""
中文: ""洞"" - Русский: ""","[29964, 6414, 469, 2100, 211]",пещера,"[18346, 24230, 1113, 274, 29883, 5777]",cave,洞
"中文: ""速"" - Русский: ""скорость""
中文: ""米"" - Русский: ""рис""
中文: ""湖"" - Русский: ""озеро""
中文: ""六"" - Русский: ""шесть""
中文: ""海"" - Русский: ""","[29959, 15256, 1630, 757, 2569, 12434, 211]",море,"[29879, 409, 344, 7205, 269]",sea,海
"中文: ""结"" - Русский: ""галстук""
中文: ""二"" - Русский: ""два""
中文: ""线"" - Русский: ""линия""
中文: ""会"" - Русский: ""собрание""
中文: ""湖"" - Русский: ""","[614, 29904, 29495, 211]",озеро,"[29880, 433, 19437, 18170, 24591, 425, 301]",lake,湖
"中文: ""部"" - Русский: ""часть""
中文: ""谷"" - Русский: ""долина""
中文: ""东"" - Русский: ""восток""
中文: ""种"" - Русский: ""вид""
中文: ""源"" - Русский: ""","[9971, 29917, 11452, 606, 7874, 211]",источник,"[29879, 578, 2752, 577, 269, 3669, 4993]",source,源
"中文: ""四"" - Русский: ""четыре""
中文: ""条"" - Русский: ""полоса""
中文: ""百"" - Русский: ""сотня""
中文: ""局"" - Русский: ""офис""
中文: ""火"" - Русский: ""","[1046, 29951, 1186, 551, 211]",костер,"[29888, 285, 7241, 28034, 8696, 3974, 5713, 13734]",fire,火
"中文: ""画"" - Русский: ""картина""
中文: ""南"" - Русский: ""юг""
中文: ""判"" - Русский: ""судья""
中文: ""删"" - Русский: ""удалить""
中文: ""点"" - Русский: ""","[29932, 702, 1937, 2721, 212]",точка,"[29886, 772, 1129, 282, 11899, 3149, 1298]",point,点
"中文: ""阳"" - Русский: ""солнце""
中文: ""音"" - Русский: ""звук""
中文: ""会"" - Русский: ""собрание""
中文: ""歌"" - Русский: ""песня""
中文: ""版"" - Русский: ""","[3340, 29942, 1521, 8060, 3531, 490, 211]",версия,"[1224, 3259, 1147, 2453, 1873, 874, 369, 325, 29894, 345]",version,版
