prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Deutsch: ""cinq"" - 中文: ""五""
Deutsch: ""cœur"" - 中文: ""心""
Deutsch: ""partie"" - 中文: ""部""
Deutsch: ""trois"" - 中文: ""三""
Deutsch: ""nuage"" - 中文: ""","[31784, 231]",云,"[23642, 9570, 1067, 29883, 695, 15126, 17184, 274, 9274]",cloud,nuage
"Deutsch: ""vallée"" - 中文: ""谷""
Deutsch: ""tribu"" - 中文: ""族""
Deutsch: ""vertu"" - 中文: ""德""
Deutsch: ""œil"" - 中文: ""目""
Deutsch: ""sac"" - 中文: ""","[31473, 232]",包,"[23156, 289, 2291, 19548, 29890, 9922]",bag,sac
"Deutsch: ""école"" - 中文: ""校""
Deutsch: ""version"" - 中文: ""版""
Deutsch: ""point"" - 中文: ""点""
Deutsch: ""mille"" - 中文: ""千""
Deutsch: ""bouche"" - 中文: ""","[30856, 232]",口,"[2730, 286, 29885, 4346, 13394, 21026, 29442]",mouth,bouche
"Deutsch: ""champ"" - 中文: ""场""
Deutsch: ""nord"" - 中文: ""北""
Deutsch: ""fleur"" - 中文: ""花""
Deutsch: ""tour"" - 中文: ""塔""
Deutsch: ""sol"" - 中文: ""","[31181, 232]",土,"[22473, 577, 29879, 269, 578]",soil,sol
"Deutsch: ""temps"" - 中文: ""时""
Deutsch: ""porte"" - 中文: ""门""
Deutsch: ""vallée"" - 中文: ""谷""
Deutsch: ""rue"" - 中文: ""街""
Deutsch: ""montagne"" - 中文: ""","[30329, 232]",山,"[14378, 2730, 286, 29885, 4346, 16476, 5766, 29442]",mountain,montagne
"Deutsch: ""paire"" - 中文: ""双""
Deutsch: ""gauche"" - 中文: ""左""
Deutsch: ""été"" - 中文: ""夏""
Deutsch: ""sept"" - 中文: ""七""
Deutsch: ""cœur"" - 中文: ""","[30869, 232]",心,"[540, 8293, 29882, 298, 5192, 23057, 354]",heart,cœur
"Deutsch: ""bande"" - 中文: ""条""
Deutsch: ""un"" - 中文: ""一""
Deutsch: ""jour"" - 中文: ""日""
Deutsch: ""enfant"" - 中文: ""子""
Deutsch: ""main"" - 中文: ""","[30880, 233]",手,"[1361, 29882, 5905, 3179, 298, 5403, 447, 2350]",hand,main
"Deutsch: ""quatre"" - 中文: ""四""
Deutsch: ""bois"" - 中文: ""木""
Deutsch: ""rouge"" - 中文: ""红""
Deutsch: ""gauche"" - 中文: ""左""
Deutsch: ""jour"" - 中文: ""","[30325, 233]",日,"[1146, 29881, 3250, 270, 2462, 1388]",day,jour
"Deutsch: ""source"" - 中文: ""源""
Deutsch: ""neuf"" - 中文: ""九""
Deutsch: ""main"" - 中文: ""手""
Deutsch: ""ligne"" - 中文: ""线""
Deutsch: ""étoile"" - 中文: ""","[30900, 233]",星,"[303, 269, 29879, 8508, 5810, 380, 5173, 9523]",star,étoile
"Deutsch: ""loi"" - 中文: ""法""
Deutsch: ""tribu"" - 中文: ""族""
Deutsch: ""bouche"" - 中文: ""口""
Deutsch: ""gauche"" - 中文: ""左""
Deutsch: ""ressort"" - 中文: ""","[31031, 233]",春,"[6709, 269, 29879, 805, 7689, 1028, 15099, 4278]",spring,ressort
"Deutsch: ""siège"" - 中文: ""座""
Deutsch: ""sud"" - 中文: ""南""
Deutsch: ""quatre"" - 中文: ""四""
Deutsch: ""or"" - 中文: ""金""
Deutsch: ""lune"" - 中文: ""","[30534, 233]",月,"[2730, 286, 29885, 4346, 18786]",moon,lune
"Deutsch: ""bouche"" - 中文: ""口""
Deutsch: ""mille"" - 中文: ""千""
Deutsch: ""ménage"" - 中文: ""户""
Deutsch: ""été"" - 中文: ""夏""
Deutsch: ""bois"" - 中文: ""","[30710, 233]",木,"[8879, 281, 6115, 29893, 827, 8112]",wood,bois
"Deutsch: ""forêt"" - 中文: ""林""
Deutsch: ""cravate"" - 中文: ""结""
Deutsch: ""six"" - 中文: ""六""
Deutsch: ""dix"" - 中文: ""十""
Deutsch: ""village"" - 中文: ""","[30402, 233]",村,"[28765, 11928, 325, 29894, 3516, 17191, 5720, 21031, 4213, 1403]",village,village
