prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Deutsch: ""cinq"" - 中文: ""五""
Deutsch: ""cœur"" - 中文: ""心""
Deutsch: ""partie"" - 中文: ""部""
Deutsch: ""trois"" - 中文: ""三""
Deutsch: ""nuage"" - 中文: ""","[31784, 231]",云,"[15126, 9274, 9570, 695, 17184, 29883, 23642, 1067, 274]",cloud,nuage
"Deutsch: ""vallée"" - 中文: ""谷""
Deutsch: ""tribu"" - 中文: ""族""
Deutsch: ""vertu"" - 中文: ""德""
Deutsch: ""œil"" - 中文: ""目""
Deutsch: ""sac"" - 中文: ""","[31473, 232]",包,"[289, 19548, 23156, 29890, 2291, 9922]",bag,sac
"Deutsch: ""école"" - 中文: ""校""
Deutsch: ""version"" - 中文: ""版""
Deutsch: ""point"" - 中文: ""点""
Deutsch: ""mille"" - 中文: ""千""
Deutsch: ""bouche"" - 中文: ""","[30856, 232]",口,"[29885, 29442, 2730, 21026, 13394, 4346, 286]",mouth,bouche
"Deutsch: ""champ"" - 中文: ""场""
Deutsch: ""nord"" - 中文: ""北""
Deutsch: ""fleur"" - 中文: ""花""
Deutsch: ""tour"" - 中文: ""塔""
Deutsch: ""sol"" - 中文: ""","[31181, 232]",土,"[29879, 577, 578, 22473, 269]",soil,sol
"Deutsch: ""temps"" - 中文: ""时""
Deutsch: ""porte"" - 中文: ""门""
Deutsch: ""vallée"" - 中文: ""谷""
Deutsch: ""rue"" - 中文: ""街""
Deutsch: ""montagne"" - 中文: ""","[30329, 232]",山,"[29885, 14378, 29442, 2730, 16476, 5766, 4346, 286]",mountain,montagne
"Deutsch: ""paire"" - 中文: ""双""
Deutsch: ""gauche"" - 中文: ""左""
Deutsch: ""été"" - 中文: ""夏""
Deutsch: ""sept"" - 中文: ""七""
Deutsch: ""cœur"" - 中文: ""","[30869, 232]",心,"[5192, 298, 354, 23057, 540, 29882, 8293]",heart,cœur
"Deutsch: ""bande"" - 中文: ""条""
Deutsch: ""un"" - 中文: ""一""
Deutsch: ""jour"" - 中文: ""日""
Deutsch: ""enfant"" - 中文: ""子""
Deutsch: ""main"" - 中文: ""","[30880, 233]",手,"[1361, 298, 3179, 2350, 5905, 5403, 29882, 447]",hand,main
"Deutsch: ""quatre"" - 中文: ""四""
Deutsch: ""bois"" - 中文: ""木""
Deutsch: ""rouge"" - 中文: ""红""
Deutsch: ""gauche"" - 中文: ""左""
Deutsch: ""jour"" - 中文: ""","[30325, 233]",日,"[3250, 1388, 270, 29881, 2462, 1146]",day,jour
"Deutsch: ""source"" - 中文: ""源""
Deutsch: ""neuf"" - 中文: ""九""
Deutsch: ""main"" - 中文: ""手""
Deutsch: ""ligne"" - 中文: ""线""
Deutsch: ""étoile"" - 中文: ""","[30900, 233]",星,"[303, 29879, 380, 5173, 5810, 9523, 8508, 269]",star,étoile
"Deutsch: ""loi"" - 中文: ""法""
Deutsch: ""tribu"" - 中文: ""族""
Deutsch: ""bouche"" - 中文: ""口""
Deutsch: ""gauche"" - 中文: ""左""
Deutsch: ""ressort"" - 中文: ""","[31031, 233]",春,"[7689, 29879, 805, 15099, 6709, 1028, 269, 4278]",spring,ressort
"Deutsch: ""siège"" - 中文: ""座""
Deutsch: ""sud"" - 中文: ""南""
Deutsch: ""quatre"" - 中文: ""四""
Deutsch: ""or"" - 中文: ""金""
Deutsch: ""lune"" - 中文: ""","[30534, 233]",月,"[29885, 18786, 2730, 4346, 286]",moon,lune
"Deutsch: ""bouche"" - 中文: ""口""
Deutsch: ""mille"" - 中文: ""千""
Deutsch: ""ménage"" - 中文: ""户""
Deutsch: ""été"" - 中文: ""夏""
Deutsch: ""bois"" - 中文: ""","[30710, 233]",木,"[827, 29893, 8112, 8879, 6115, 281]",wood,bois
"Deutsch: ""forêt"" - 中文: ""林""
Deutsch: ""cravate"" - 中文: ""结""
Deutsch: ""six"" - 中文: ""六""
Deutsch: ""dix"" - 中文: ""十""
Deutsch: ""village"" - 中文: ""","[30402, 233]",村,"[29894, 4213, 5720, 11928, 325, 17191, 1403, 28765, 21031, 3516]",village,village
"Deutsch: ""tête"" - 中文: ""头""
Deutsch: ""génération"" - 中文: ""代""
Deutsch: ""océan"" - 中文: ""洋""
Deutsch: ""quatre"" - 中文: ""四""
Deutsch: ""forêt"" - 中文: ""","[30853, 233]",林,"[1079, 1454, 29888, 26839, 1181, 13569, 1701, 363, 285]",forest,forêt
"Deutsch: ""défaite"" - 中文: ""败""
Deutsch: ""bande"" - 中文: ""条""
Deutsch: ""bouche"" - 中文: ""口""
Deutsch: ""sud"" - 中文: ""南""
Deutsch: ""fruit"" - 中文: ""","[30801, 233]",果,"[1424, 29888, 15774, 1341, 285]",fruit,fruit
"Deutsch: ""trois"" - 中文: ""三""
Deutsch: ""montagne"" - 中文: ""山""
Deutsch: ""milieu"" - 中文: ""中""
Deutsch: ""tentative"" - 中文: ""试""
Deutsch: ""grille"" - 中文: ""","[31168, 233]",格,"[29887, 330, 867, 6856, 7720, 629]",grid,grille
"Deutsch: ""avancer"" - 中文: ""进""
Deutsch: ""enfant"" - 中文: ""子""
Deutsch: ""sept"" - 中文: ""七""
Deutsch: ""groupe"" - 中文: ""群""
Deutsch: ""chanson"" - 中文: ""","[31173, 233]",歌,"[21453, 29879, 1100, 1487, 577, 578, 4823, 269]",song,chanson
"Deutsch: ""école"" - 中文: ""校""
Deutsch: ""groupe"" - 中文: ""群""
Deutsch: ""grille"" - 中文: ""格""
Deutsch: ""pouvoir"" - 中文: ""力""
Deutsch: ""étang"" - 中文: ""","[31853, 233]",池,"[2818, 1129, 772, 12509, 29886, 1112, 282]",pond,étang
"Deutsch: ""roche"" - 中文: ""岩""
Deutsch: ""maison"" - 中文: ""屋""
Deutsch: ""visage"" - 中文: ""面""
Deutsch: ""cheval"" - 中文: ""马""
Deutsch: ""sable"" - 中文: ""","[31476, 233]",沙,"[28455, 29879, 9753, 872, 11982, 4977, 269]",sand,sable
