prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Русский: ""cinq"" - Français: ""五""
Русский: ""cœur"" - Français: ""心""
Русский: ""partie"" - Français: ""部""
Русский: ""trois"" - Français: ""三""
Русский: ""nuage"" - Français: """,[31784],云,"[274, 9274, 695, 15126, 23642, 17184, 9570, 1067, 29883]",cloud,nuage
"Русский: ""vallée"" - Français: ""谷""
Русский: ""tribu"" - Français: ""族""
Русский: ""vertu"" - Français: ""德""
Русский: ""œil"" - Français: ""目""
Русский: ""sac"" - Français: """,[31473],包,"[19548, 29890, 9922, 2291, 23156, 289]",bag,sac
"Русский: ""école"" - Français: ""校""
Русский: ""version"" - Français: ""版""
Русский: ""point"" - Français: ""点""
Русский: ""mille"" - Français: ""千""
Русский: ""bouche"" - Français: """,[30856],口,"[13394, 2730, 4346, 21026, 29885, 286, 29442]",mouth,bouche
"Русский: ""champ"" - Français: ""场""
Русский: ""nord"" - Français: ""北""
Русский: ""fleur"" - Français: ""花""
Русский: ""tour"" - Français: ""塔""
Русский: ""sol"" - Français: """,[31181],土,"[578, 29879, 577, 269, 22473]",soil,sol
"Русский: ""temps"" - Français: ""时""
Русский: ""porte"" - Français: ""门""
Русский: ""vallée"" - Français: ""谷""
Русский: ""rue"" - Français: ""街""
Русский: ""montagne"" - Français: """,[30329],山,"[16476, 2730, 4346, 5766, 14378, 29885, 286, 29442]",mountain,montagne
"Русский: ""paire"" - Français: ""双""
Русский: ""gauche"" - Français: ""左""
Русский: ""été"" - Français: ""夏""
Русский: ""sept"" - Français: ""七""
Русский: ""cœur"" - Français: """,[30869],心,"[540, 298, 8293, 354, 29882, 23057, 5192]",heart,cœur
"Русский: ""bande"" - Français: ""条""
Русский: ""un"" - Français: ""一""
Русский: ""jour"" - Français: ""日""
Русский: ""enfant"" - Français: ""子""
Русский: ""main"" - Français: """,[30880],手,"[298, 3179, 5905, 2350, 29882, 5403, 447, 1361]",hand,main
"Русский: ""quatre"" - Français: ""四""
Русский: ""bois"" - Français: ""木""
Русский: ""rouge"" - Français: ""红""
Русский: ""gauche"" - Français: ""左""
Русский: ""jour"" - Français: """,[30325],日,"[2462, 1388, 3250, 29881, 270, 1146]",day,jour
"Русский: ""source"" - Français: ""源""
Русский: ""neuf"" - Français: ""九""
Русский: ""main"" - Français: ""手""
Русский: ""ligne"" - Français: ""线""
Русский: ""étoile"" - Français: """,[30900],星,"[29879, 8508, 5173, 380, 5810, 269, 303, 9523]",star,étoile
"Русский: ""loi"" - Français: ""法""
Русский: ""tribu"" - Français: ""族""
Русский: ""bouche"" - Français: ""口""
Русский: ""gauche"" - Français: ""左""
Русский: ""ressort"" - Français: """,[31031],春,"[4278, 29879, 805, 1028, 7689, 6709, 15099, 269]",spring,ressort
"Русский: ""siège"" - Français: ""座""
Русский: ""sud"" - Français: ""南""
Русский: ""quatre"" - Français: ""四""
Русский: ""or"" - Français: ""金""
Русский: ""lune"" - Français: """,[30534],月,"[2730, 18786, 4346, 29885, 286]",moon,lune
"Русский: ""bouche"" - Français: ""口""
Русский: ""mille"" - Français: ""千""
Русский: ""ménage"" - Français: ""户""
Русский: ""été"" - Français: ""夏""
Русский: ""bois"" - Français: """,[30710],木,"[8879, 8112, 827, 281, 29893, 6115]",wood,bois
"Русский: ""forêt"" - Français: ""林""
Русский: ""cravate"" - Français: ""结""
Русский: ""six"" - Français: ""六""
Русский: ""dix"" - Français: ""十""
Русский: ""village"" - Français: """,[30402],村,"[4213, 28765, 1403, 17191, 29894, 325, 11928, 5720, 21031, 3516]",village,village
"Русский: ""tête"" - Français: ""头""
Русский: ""génération"" - Français: ""代""
Русский: ""océan"" - Français: ""洋""
Русский: ""quatre"" - Français: ""四""
Русский: ""forêt"" - Français: """,[30853],林,"[26839, 29888, 1181, 1701, 13569, 285, 1454, 363, 1079]",forest,forêt
"Русский: ""défaite"" - Français: ""败""
Русский: ""bande"" - Français: ""条""
Русский: ""bouche"" - Français: ""口""
Русский: ""sud"" - Français: ""南""
Русский: ""fruit"" - Français: """,[30801],果,"[15774, 29888, 285, 1341, 1424]",fruit,fruit
"Русский: ""trois"" - Français: ""三""
Русский: ""montagne"" - Français: ""山""
Русский: ""milieu"" - Français: ""中""
Русский: ""tentative"" - Français: ""试""
Русский: ""grille"" - Français: """,[31168],格,"[6856, 867, 29887, 7720, 629, 330]",grid,grille
"Русский: ""avancer"" - Français: ""进""
Русский: ""enfant"" - Français: ""子""
Русский: ""sept"" - Français: ""七""
Русский: ""groupe"" - Français: ""群""
Русский: ""chanson"" - Français: """,[31173],歌,"[21453, 578, 29879, 577, 1100, 1487, 4823, 269]",song,chanson
"Русский: ""école"" - Français: ""校""
Русский: ""groupe"" - Français: ""群""
Русский: ""grille"" - Français: ""格""
Русский: ""pouvoir"" - Français: ""力""
Русский: ""étang"" - Français: """,[31853],池,"[12509, 29886, 1112, 282, 2818, 1129, 772]",pond,étang
"Русский: ""roche"" - Français: ""岩""
Русский: ""maison"" - Français: ""屋""
Русский: ""visage"" - Français: ""面""
Русский: ""cheval"" - Français: ""马""
Русский: ""sable"" - Français: """,[31476],沙,"[4977, 11982, 29879, 872, 28455, 269, 9753]",sand,sable
"Русский: ""œil"" - Français: ""目""
Русский: ""ligne"" - Français: ""线""
Русский: ""histoire"" - Français: ""史""
Русский: ""porte"" - Français: ""门""
Русский: ""loi"" - Français: """,[30545],法,"[433, 301, 4307, 29880, 10653, 425]",law,loi
"Русский: ""six"" - Français: ""六""
Русский: ""ressort"" - Français: ""春""
Русский: ""main"" - Français: ""手""
Русский: ""école"" - Français: ""校""
Русский: ""onde"" - Français: """,[31529],波,"[281, 29893, 10742, 2766, 27766, 11324]",wave,onde
"Русский: ""nuage"" - Français: ""云""
Русский: ""champ"" - Français: ""场""
Русский: ""neuf"" - Français: ""九""
Русский: ""quatre"" - Français: ""四""
Русский: ""océan"" - Français: """,[31534],洋,"[542, 288, 23474, 29877, 12954, 25802]",ocean,océan
"Русский: ""forêt"" - Français: ""林""
Русский: ""été"" - Français: ""夏""
Русский: ""juge"" - Français: ""判""
Русский: ""filet"" - Français: ""网""
Русский: ""grotte"" - Français: """,[31886],洞,"[274, 1113, 18346, 5777, 29883, 24230]",cave,grotte
"Русский: ""siège"" - Français: ""座""
Русский: ""supprimer"" - Français: ""删""
Русский: ""nord"" - Français: ""北""
Русский: ""pied"" - Français: ""足""
Русский: ""mer"" - Français: """,[30581],海,"[344, 7205, 29879, 409, 269]",sea,mer
"Русский: ""bois"" - Français: ""木""
Русский: ""jour"" - Français: ""日""
Русский: ""cheval"" - Français: ""马""
Русский: ""structure"" - Français: ""构""
Русский: ""lac"" - Français: """,[31496],湖,"[433, 301, 24591, 425, 18170, 19437, 29880]",lake,lac
"Русский: ""siège"" - Français: ""座""
Русский: ""village"" - Français: ""村""
Русский: ""machine"" - Français: ""机""
Русский: ""gauche"" - Français: ""左""
Русский: ""source"" - Français: """,[31193],源,"[578, 2752, 29879, 577, 4993, 269, 3669]",source,source
"Русский: ""supprimer"" - Français: ""删""
Русский: ""champ"" - Français: ""场""
Русский: ""position"" - Français: ""位""
Русский: ""gare"" - Français: ""站""
Русский: ""point"" - Français: """,[30940],点,"[29886, 11899, 282, 1129, 772, 3149, 1298]",point,point
"Русский: ""rouge"" - Français: ""红""
Русский: ""sac"" - Français: ""包""
Русский: ""visage"" - Français: ""面""
Русский: ""mot"" - Français: ""字""
Русский: ""version"" - Français: """,[30845],版,"[1224, 874, 3259, 369, 29894, 325, 1147, 2453, 1873, 345]",version,version
"Русский: ""neuf"" - Français: ""九""
Русский: ""montagne"" - Français: ""山""
Русский: ""mille"" - Français: ""千""
Русский: ""bureau"" - Français: ""局""
Русский: ""ballon"" - Français: """,[31539],球,"[8287, 2135, 5521, 29890, 9922, 2291, 6411, 289]",ball,ballon
"Русский: ""mer"" - Français: ""海""
Русский: ""océan"" - Français: ""洋""
Русский: ""mère"" - Français: ""母""
Русский: ""machine"" - Français: ""机""
Русский: ""gare"" - Français: """,[31433],站,"[6112, 5073, 29879, 5173, 23436, 380, 1002, 269, 303, 19569, 9523]",station,gare
"Русский: ""bande"" - Français: ""条""
Русский: ""sol"" - Français: ""地""
Русский: ""bureau"" - Français: ""局""
Русский: ""nuage"" - Français: ""云""
Русский: ""riz"" - Français: """,[31902],米,"[10107, 364, 29878, 2200, 374, 19408, 11674, 9597]",rice,riz
"Русский: ""structure"" - Français: ""构""
Русский: ""fleur"" - Français: ""花""
Русский: ""bourse"" - Français: ""交""
Русский: ""cœur"" - Français: ""心""
Русский: ""rouge"" - Français: """,[31869],红,"[276, 364, 1127, 29878, 2654, 337]",red,rouge
"Русский: ""enfant"" - Français: ""子""
Русский: ""sept"" - Français: ""七""
Русский: ""quatre"" - Français: ""四""
Русский: ""vertu"" - Français: ""德""
Русский: ""ligne"" - Français: """,[31532],线,"[619, 492, 301, 1915, 1196, 1220, 29880, 6276]",line,ligne
"Русский: ""ménage"" - Français: ""户""
Русский: ""pouvoir"" - Français: ""力""
Русский: ""ville"" - Français: ""城""
Русский: ""loi"" - Français: ""法""
Русский: ""filet"" - Français: """,[31222],网,"[452, 29876, 484, 1212, 302, 7787]",net,filet
"Русский: ""vertu"" - Français: ""德""
Русский: ""siège"" - Français: ""座""
Русский: ""neige"" - Français: ""雪""
Русский: ""supprimer"" - Français: ""删""
Русский: ""fleur"" - Français: """,[30830],花,"[1652, 29888, 28149, 4972, 1731, 285, 1579, 5685]",flower,fleur
"Русский: ""mille"" - Français: ""千""
Русский: ""bureau"" - Français: ""局""
Русский: ""fleur"" - Français: ""花""
Русский: ""vallée"" - Français: ""谷""
Русский: ""thé"" - Français: """,[31954],茶,"[734, 29873, 260, 371, 23429]",tea,thé
"Русский: ""carré"" - Français: ""方""
Русский: ""quatre"" - Français: ""四""
Русский: ""temps"" - Français: ""时""
Русский: ""fleur"" - Français: ""花""
Русский: ""pied"" - Français: """,[31722],足,"[29888, 7953, 3661, 1181, 1701, 285, 5431, 6661]",foot,pied
"Русский: ""deux"" - Français: ""二""
Русский: ""carré"" - Français: ""方""
Русский: ""lumière"" - Français: ""光""
Русский: ""personne"" - Français: ""人""
Русский: ""or"" - Français: """,[30659],金,"[330, 15192, 7684, 1484, 29887, 748]",gold,or
"Русский: ""tête"" - Français: ""头""
Русский: ""lune"" - Français: ""月""
Русский: ""groupe"" - Français: ""群""
Русский: ""montagne"" - Français: ""山""
Русский: ""porte"" - Français: """,[31649],门,"[3050, 437, 29881, 270, 1867, 17433]",door,porte
"Русский: ""mer"" - Français: ""海""
Русский: ""rue"" - Français: ""街""
Русский: ""cravate"" - Français: ""结""
Русский: ""réunion"" - Français: ""会""
Русский: ""neige"" - Français: """,[31731],雪,"[29879, 16586, 269, 5807, 15007]",snow,neige
"Русский: ""mot"" - Français: ""字""
Русский: ""sol"" - Français: ""土""
Русский: ""enfant"" - Français: ""子""
Русский: ""rue"" - Français: ""街""
Русский: ""cheval"" - Français: """,[31530],马,"[298, 4029, 29882, 5089, 11231, 10435, 2015, 1251]",horse,cheval
"Русский: ""école"" - Français: ""校""
Русский: ""quatre"" - Français: ""四""
Русский: ""avancer"" - Français: ""进""
Русский: ""province"" - Français: ""省""
Русский: ""un"" - Français: """,[30287],一,"[288, 29877, 373, 265, 650, 697]",one,un
"Русский: ""ville"" - Français: ""城""
Русский: ""tête"" - Français: ""头""
Русский: ""filet"" - Français: ""网""
Русский: ""maison"" - Français: ""屋""
Русский: ""deux"" - Français: """,[30685],二,"[1023, 29873, 10184, 260, 7516, 3252]",two,deux
