prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Français: ""cinq"" - Deutsch: ""五""
Français: ""cœur"" - Deutsch: ""心""
Français: ""partie"" - Deutsch: ""部""
Français: ""trois"" - Deutsch: ""三""
Français: ""nuage"" - Deutsch: """,[31784],云,"[274, 15126, 9570, 9274, 1067, 29883, 695, 17184, 23642]",cloud,nuage
"Français: ""vallée"" - Deutsch: ""谷""
Français: ""tribu"" - Deutsch: ""族""
Français: ""vertu"" - Deutsch: ""德""
Français: ""œil"" - Deutsch: ""目""
Français: ""sac"" - Deutsch: """,[31473],包,"[289, 2291, 9922, 29890, 19548, 23156]",bag,sac
"Français: ""école"" - Deutsch: ""校""
Français: ""version"" - Deutsch: ""版""
Français: ""point"" - Deutsch: ""点""
Français: ""mille"" - Deutsch: ""千""
Français: ""bouche"" - Deutsch: """,[30856],口,"[29442, 29885, 4346, 2730, 21026, 286, 13394]",mouth,bouche
"Français: ""champ"" - Deutsch: ""场""
Français: ""nord"" - Deutsch: ""北""
Français: ""fleur"" - Deutsch: ""花""
Français: ""tour"" - Deutsch: ""塔""
Français: ""sol"" - Deutsch: """,[31181],土,"[577, 578, 29879, 22473, 269]",soil,sol
"Français: ""temps"" - Deutsch: ""时""
Français: ""porte"" - Deutsch: ""门""
Français: ""vallée"" - Deutsch: ""谷""
Français: ""rue"" - Deutsch: ""街""
Français: ""montagne"" - Deutsch: """,[30329],山,"[29442, 29885, 4346, 2730, 5766, 14378, 16476, 286]",mountain,montagne
"Français: ""paire"" - Deutsch: ""双""
Français: ""gauche"" - Deutsch: ""左""
Français: ""été"" - Deutsch: ""夏""
Français: ""sept"" - Deutsch: ""七""
Français: ""cœur"" - Deutsch: """,[30869],心,"[354, 298, 23057, 29882, 540, 8293, 5192]",heart,cœur
"Français: ""bande"" - Deutsch: ""条""
Français: ""un"" - Deutsch: ""一""
Français: ""jour"" - Deutsch: ""日""
Français: ""enfant"" - Deutsch: ""子""
Français: ""main"" - Deutsch: """,[30880],手,"[298, 5905, 447, 1361, 2350, 3179, 29882, 5403]",hand,main
"Français: ""quatre"" - Deutsch: ""四""
Français: ""bois"" - Deutsch: ""木""
Français: ""rouge"" - Deutsch: ""红""
Français: ""gauche"" - Deutsch: ""左""
Français: ""jour"" - Deutsch: """,[30325],日,"[1146, 3250, 2462, 270, 1388, 29881]",day,jour
"Français: ""source"" - Deutsch: ""源""
Français: ""neuf"" - Deutsch: ""九""
Français: ""main"" - Deutsch: ""手""
Français: ""ligne"" - Deutsch: ""线""
Français: ""étoile"" - Deutsch: """,[30900],星,"[380, 303, 8508, 29879, 9523, 5173, 269, 5810]",star,étoile
"Français: ""loi"" - Deutsch: ""法""
Français: ""tribu"" - Deutsch: ""族""
Français: ""bouche"" - Deutsch: ""口""
Français: ""gauche"" - Deutsch: ""左""
Français: ""ressort"" - Deutsch: """,[31031],春,"[1028, 6709, 805, 29879, 4278, 15099, 269, 7689]",spring,ressort
"Français: ""siège"" - Deutsch: ""座""
Français: ""sud"" - Deutsch: ""南""
Français: ""quatre"" - Deutsch: ""四""
Français: ""or"" - Deutsch: ""金""
Français: ""lune"" - Deutsch: """,[30534],月,"[29885, 4346, 2730, 18786, 286]",moon,lune
"Français: ""bouche"" - Deutsch: ""口""
Français: ""mille"" - Deutsch: ""千""
Français: ""ménage"" - Deutsch: ""户""
Français: ""été"" - Deutsch: ""夏""
Français: ""bois"" - Deutsch: """,[30710],木,"[8879, 6115, 8112, 281, 29893, 827]",wood,bois
"Français: ""forêt"" - Deutsch: ""林""
Français: ""cravate"" - Deutsch: ""结""
Français: ""six"" - Deutsch: ""六""
Français: ""dix"" - Deutsch: ""十""
Français: ""village"" - Deutsch: """,[30402],村,"[28765, 11928, 5720, 29894, 1403, 17191, 325, 4213, 21031, 3516]",village,village
"Français: ""tête"" - Deutsch: ""头""
Français: ""génération"" - Deutsch: ""代""
Français: ""océan"" - Deutsch: ""洋""
Français: ""quatre"" - Deutsch: ""四""
Français: ""forêt"" - Deutsch: """,[30853],林,"[1181, 363, 29888, 1079, 1454, 13569, 26839, 1701, 285]",forest,forêt
"Français: ""défaite"" - Deutsch: ""败""
Français: ""bande"" - Deutsch: ""条""
Français: ""bouche"" - Deutsch: ""口""
Français: ""sud"" - Deutsch: ""南""
Français: ""fruit"" - Deutsch: """,[30801],果,"[15774, 29888, 1341, 1424, 285]",fruit,fruit
"Français: ""trois"" - Deutsch: ""三""
Français: ""montagne"" - Deutsch: ""山""
Français: ""milieu"" - Deutsch: ""中""
Français: ""tentative"" - Deutsch: ""试""
Français: ""grille"" - Deutsch: """,[31168],格,"[330, 629, 6856, 29887, 7720, 867]",grid,grille
"Français: ""avancer"" - Deutsch: ""进""
Français: ""enfant"" - Deutsch: ""子""
Français: ""sept"" - Deutsch: ""七""
Français: ""groupe"" - Deutsch: ""群""
Français: ""chanson"" - Deutsch: """,[31173],歌,"[577, 1487, 1100, 578, 29879, 21453, 269, 4823]",song,chanson
"Français: ""école"" - Deutsch: ""校""
Français: ""groupe"" - Deutsch: ""群""
Français: ""grille"" - Deutsch: ""格""
Français: ""pouvoir"" - Deutsch: ""力""
Français: ""étang"" - Deutsch: """,[31853],池,"[282, 29886, 1112, 12509, 1129, 772, 2818]",pond,étang
"Français: ""roche"" - Deutsch: ""岩""
Français: ""maison"" - Deutsch: ""屋""
Français: ""visage"" - Deutsch: ""面""
Français: ""cheval"" - Deutsch: ""马""
Français: ""sable"" - Deutsch: """,[31476],沙,"[4977, 28455, 29879, 9753, 11982, 269, 872]",sand,sable
"Français: ""œil"" - Deutsch: ""目""
Français: ""ligne"" - Deutsch: ""线""
Français: ""histoire"" - Deutsch: ""史""
Français: ""porte"" - Deutsch: ""门""
Français: ""loi"" - Deutsch: """,[30545],法,"[4307, 10653, 301, 29880, 425, 433]",law,loi
"Français: ""six"" - Deutsch: ""六""
Français: ""ressort"" - Deutsch: ""春""
Français: ""main"" - Deutsch: ""手""
Français: ""école"" - Deutsch: ""校""
Français: ""onde"" - Deutsch: """,[31529],波,"[27766, 11324, 10742, 281, 29893, 2766]",wave,onde
"Français: ""nuage"" - Deutsch: ""云""
Français: ""champ"" - Deutsch: ""场""
Français: ""neuf"" - Deutsch: ""九""
Français: ""quatre"" - Deutsch: ""四""
Français: ""océan"" - Deutsch: """,[31534],洋,"[23474, 29877, 288, 12954, 25802, 542]",ocean,océan
"Français: ""forêt"" - Deutsch: ""林""
Français: ""été"" - Deutsch: ""夏""
Français: ""juge"" - Deutsch: ""判""
Français: ""filet"" - Deutsch: ""网""
Français: ""grotte"" - Deutsch: """,[31886],洞,"[5777, 274, 18346, 24230, 1113, 29883]",cave,grotte
"Français: ""siège"" - Deutsch: ""座""
Français: ""supprimer"" - Deutsch: ""删""
Français: ""nord"" - Deutsch: ""北""
Français: ""pied"" - Deutsch: ""足""
Français: ""mer"" - Deutsch: """,[30581],海,"[409, 29879, 7205, 344, 269]",sea,mer
"Français: ""bois"" - Deutsch: ""木""
Français: ""jour"" - Deutsch: ""日""
Français: ""cheval"" - Deutsch: ""马""
Français: ""structure"" - Deutsch: ""构""
Français: ""lac"" - Deutsch: """,[31496],湖,"[19437, 18170, 301, 29880, 24591, 425, 433]",lake,lac
"Français: ""siège"" - Deutsch: ""座""
Français: ""village"" - Deutsch: ""村""
Français: ""machine"" - Deutsch: ""机""
Français: ""gauche"" - Deutsch: ""左""
Français: ""source"" - Deutsch: """,[31193],源,"[577, 578, 29879, 2752, 3669, 4993, 269]",source,source
"Français: ""supprimer"" - Deutsch: ""删""
Français: ""champ"" - Deutsch: ""场""
Français: ""position"" - Deutsch: ""位""
Français: ""gare"" - Deutsch: ""站""
Français: ""point"" - Deutsch: """,[30940],点,"[3149, 1298, 282, 29886, 11899, 1129, 772]",point,point
"Français: ""rouge"" - Deutsch: ""红""
Français: ""sac"" - Deutsch: ""包""
Français: ""visage"" - Deutsch: ""面""
Français: ""mot"" - Deutsch: ""字""
Français: ""version"" - Deutsch: """,[30845],版,"[2453, 1147, 29894, 3259, 1224, 369, 325, 1873, 345, 874]",version,version
"Français: ""neuf"" - Deutsch: ""九""
Français: ""montagne"" - Deutsch: ""山""
Français: ""mille"" - Deutsch: ""千""
Français: ""bureau"" - Deutsch: ""局""
Français: ""ballon"" - Deutsch: """,[31539],球,"[8287, 289, 9922, 2291, 6411, 29890, 2135, 5521]",ball,ballon
"Français: ""mer"" - Deutsch: ""海""
Français: ""océan"" - Deutsch: ""洋""
Français: ""mère"" - Deutsch: ""母""
Français: ""machine"" - Deutsch: ""机""
Français: ""gare"" - Deutsch: """,[31433],站,"[1002, 380, 303, 6112, 29879, 9523, 5173, 5073, 269, 19569, 23436]",station,gare
"Français: ""bande"" - Deutsch: ""条""
Français: ""sol"" - Deutsch: ""地""
Français: ""bureau"" - Deutsch: ""局""
Français: ""nuage"" - Deutsch: ""云""
Français: ""riz"" - Deutsch: """,[31902],米,"[19408, 9597, 11674, 2200, 10107, 29878, 374, 364]",rice,riz
"Français: ""structure"" - Deutsch: ""构""
Français: ""fleur"" - Deutsch: ""花""
Français: ""bourse"" - Deutsch: ""交""
Français: ""cœur"" - Deutsch: ""心""
Français: ""rouge"" - Deutsch: """,[31869],红,"[276, 337, 1127, 29878, 2654, 364]",red,rouge
"Français: ""enfant"" - Deutsch: ""子""
Français: ""sept"" - Deutsch: ""七""
Français: ""quatre"" - Deutsch: ""四""
Français: ""vertu"" - Deutsch: ""德""
Français: ""ligne"" - Deutsch: """,[31532],线,"[1196, 1915, 301, 492, 6276, 29880, 1220, 619]",line,ligne
"Français: ""ménage"" - Deutsch: ""户""
Français: ""pouvoir"" - Deutsch: ""力""
Français: ""ville"" - Deutsch: ""城""
Français: ""loi"" - Deutsch: ""法""
Français: ""filet"" - Deutsch: """,[31222],网,"[484, 7787, 1212, 29876, 302, 452]",net,filet
"Français: ""vertu"" - Deutsch: ""德""
Français: ""siège"" - Deutsch: ""座""
Français: ""neige"" - Deutsch: ""雪""
Français: ""supprimer"" - Deutsch: ""删""
Français: ""fleur"" - Deutsch: """,[30830],花,"[1652, 4972, 28149, 1579, 29888, 1731, 285, 5685]",flower,fleur
