prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"English: ""line"" - 中文: ""线""
English: ""head"" - 中文: ""头""
English: ""eight"" - 中文: ""八""
English: ""friend"" - 中文: ""友""
English: ""advance"" - 中文: ""","[31174, 235]",进,"[31174, 235]",进,advance
"English: ""valley"" - 中文: ""谷""
English: ""bridge"" - 中文: ""桥""
English: ""six"" - 中文: ""六""
English: ""mother"" - 中文: ""母""
English: ""attempt"" - 中文: ""","[31787, 235]",试,"[31787, 235]",试,attempt
"English: ""street"" - 中文: ""街""
English: ""tail"" - 中文: ""尾""
English: ""painting"" - 中文: ""画""
English: ""color"" - 中文: ""色""
English: ""bag"" - 中文: ""","[31473, 232]",包,"[31473, 232]",包,bag
"English: ""four"" - 中文: ""四""
English: ""rise"" - 中文: ""起""
English: ""platform"" - 中文: ""台""
English: ""cloth"" - 中文: ""布""
English: ""ball"" - 中文: ""","[31539, 234]",球,"[31539, 234]",球,ball
"English: ""position"" - 中文: ""位""
English: ""square"" - 中文: ""方""
English: ""virtue"" - 中文: ""德""
English: ""school"" - 中文: ""校""
English: ""beauty"" - 中文: ""","[30630, 234]",美,"[30630, 234]",美,beauty
"English: ""spring"" - 中文: ""春""
English: ""generation"" - 中文: ""代""
English: ""thousand"" - 中文: ""千""
English: ""rise"" - 中文: ""起""
English: ""benefit"" - 中文: ""","[31107, 232]",利,"[31107, 232]",利,benefit
"English: ""painting"" - 中文: ""画""
English: ""hand"" - 中文: ""手""
English: ""ground"" - 中文: ""地""
English: ""office"" - 中文: ""局""
English: ""book"" - 中文: ""","[31900, 231]",书,"[31900, 231]",书,book
"English: ""meeting"" - 中文: ""会""
English: ""sun"" - 中文: ""阳""
English: ""nine"" - 中文: ""九""
English: ""book"" - 中文: ""书""
English: ""bridge"" - 中文: ""","[31749, 233]",桥,"[31749, 233]",桥,bridge
"English: ""east"" - 中文: ""东""
English: ""school"" - 中文: ""校""
English: ""head"" - 中文: ""头""
English: ""kind"" - 中文: ""种""
English: ""cave"" - 中文: ""","[31886, 233]",洞,"[31886, 233]",洞,cave
"English: ""village"" - 中文: ""村""
English: ""square"" - 中文: ""方""
English: ""wood"" - 中文: ""木""
English: ""kind"" - 中文: ""种""
English: ""child"" - 中文: ""","[30319, 232]",子,"[30319, 232]",子,child
