prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Русский: ""cinq"" - Deutsch: ""五""
Русский: ""cœur"" - Deutsch: ""心""
Русский: ""partie"" - Deutsch: ""部""
Русский: ""trois"" - Deutsch: ""三""
Русский: ""nuage"" - Deutsch: """,[31784],云,"[17184, 29883, 23642, 695, 15126, 9274, 9570, 1067, 274]",cloud,nuage
"Русский: ""vallée"" - Deutsch: ""谷""
Русский: ""tribu"" - Deutsch: ""族""
Русский: ""vertu"" - Deutsch: ""德""
Русский: ""œil"" - Deutsch: ""目""
Русский: ""sac"" - Deutsch: """,[31473],包,"[2291, 29890, 23156, 289, 19548, 9922]",bag,sac
"Русский: ""école"" - Deutsch: ""校""
Русский: ""version"" - Deutsch: ""版""
Русский: ""point"" - Deutsch: ""点""
Русский: ""mille"" - Deutsch: ""千""
Русский: ""bouche"" - Deutsch: """,[30856],口,"[13394, 21026, 29442, 2730, 29885, 286, 4346]",mouth,bouche
"Русский: ""champ"" - Deutsch: ""场""
Русский: ""nord"" - Deutsch: ""北""
Русский: ""fleur"" - Deutsch: ""花""
Русский: ""tour"" - Deutsch: ""塔""
Русский: ""sol"" - Deutsch: """,[31181],土,"[578, 22473, 269, 29879, 577]",soil,sol
"Русский: ""temps"" - Deutsch: ""时""
Русский: ""porte"" - Deutsch: ""门""
Русский: ""vallée"" - Deutsch: ""谷""
Русский: ""rue"" - Deutsch: ""街""
Русский: ""montagne"" - Deutsch: """,[30329],山,"[4346, 29442, 2730, 29885, 16476, 286, 14378, 5766]",mountain,montagne
"Русский: ""paire"" - Deutsch: ""双""
Русский: ""gauche"" - Deutsch: ""左""
Русский: ""été"" - Deutsch: ""夏""
Русский: ""sept"" - Deutsch: ""七""
Русский: ""cœur"" - Deutsch: """,[30869],心,"[5192, 8293, 29882, 354, 298, 23057, 540]",heart,cœur
"Русский: ""bande"" - Deutsch: ""条""
Русский: ""un"" - Deutsch: ""一""
Русский: ""jour"" - Deutsch: ""日""
Русский: ""enfant"" - Deutsch: ""子""
Русский: ""main"" - Deutsch: """,[30880],手,"[29882, 3179, 447, 2350, 5905, 298, 5403, 1361]",hand,main
"Русский: ""quatre"" - Deutsch: ""四""
Русский: ""bois"" - Deutsch: ""木""
Русский: ""rouge"" - Deutsch: ""红""
Русский: ""gauche"" - Deutsch: ""左""
Русский: ""jour"" - Deutsch: """,[30325],日,"[1388, 29881, 3250, 270, 1146, 2462]",day,jour
"Русский: ""source"" - Deutsch: ""源""
Русский: ""neuf"" - Deutsch: ""九""
Русский: ""main"" - Deutsch: ""手""
Русский: ""ligne"" - Deutsch: ""线""
Русский: ""étoile"" - Deutsch: """,[30900],星,"[5810, 303, 5173, 8508, 269, 29879, 380, 9523]",star,étoile
"Русский: ""loi"" - Deutsch: ""法""
Русский: ""tribu"" - Deutsch: ""族""
Русский: ""bouche"" - Deutsch: ""口""
Русский: ""gauche"" - Deutsch: ""左""
Русский: ""ressort"" - Deutsch: """,[31031],春,"[6709, 1028, 4278, 805, 15099, 269, 29879, 7689]",spring,ressort
"Русский: ""siège"" - Deutsch: ""座""
Русский: ""sud"" - Deutsch: ""南""
Русский: ""quatre"" - Deutsch: ""四""
Русский: ""or"" - Deutsch: ""金""
Русский: ""lune"" - Deutsch: """,[30534],月,"[18786, 29885, 2730, 286, 4346]",moon,lune
"Русский: ""bouche"" - Deutsch: ""口""
Русский: ""mille"" - Deutsch: ""千""
Русский: ""ménage"" - Deutsch: ""户""
Русский: ""été"" - Deutsch: ""夏""
Русский: ""bois"" - Deutsch: """,[30710],木,"[8879, 281, 8112, 6115, 827, 29893]",wood,bois
"Русский: ""forêt"" - Deutsch: ""林""
Русский: ""cravate"" - Deutsch: ""结""
Русский: ""six"" - Deutsch: ""六""
Русский: ""dix"" - Deutsch: ""十""
Русский: ""village"" - Deutsch: """,[30402],村,"[325, 29894, 28765, 11928, 3516, 1403, 21031, 5720, 4213, 17191]",village,village
"Русский: ""tête"" - Deutsch: ""头""
Русский: ""génération"" - Deutsch: ""代""
Русский: ""océan"" - Deutsch: ""洋""
Русский: ""quatre"" - Deutsch: ""四""
Русский: ""forêt"" - Deutsch: """,[30853],林,"[26839, 1181, 13569, 1701, 285, 363, 1454, 1079, 29888]",forest,forêt
